link,title,difficulty,distance,elevation_up,elevation_down,duration,speed
https://www.komoot.com/smarttour/711106,Gorges de Douanne – Idyllischer Ort am Twannbach loop from Ligerz,Intermediate,7.77 mi,"1,350 ft","1,350 ft",03:49,2.0 mph
https://www.komoot.com/smarttour/5473353,Blick ins Seeland Alpen – Antenne de Chasseral loop from Cormoret,Easy,3.30 mi,425 ft,450 ft,01:32,2.2 mph
https://www.komoot.com/smarttour/8006451,Kirche Ligerz – Die Kirche von Ligerz loop from La Neuveville,Intermediate,6.15 mi,700 ft,700 ft,02:49,2.2 mph
https://www.komoot.com/smarttour/1514794,Drei-Seen-Sicht vom Mont-Sujet – Mont Sujet loop from Lamboing,Intermediate,8.39 mi,"1,925 ft","1,925 ft",04:19,1.9 mph
https://www.komoot.com/smarttour/1513610,Parkplatz in Nods – Nods - L‘Aiguillon loop from Nods,Intermediate,4.62 mi,475 ft,475 ft,02:04,2.2 mph
https://www.komoot.com/smarttour/8008534,Grossartige Fernsicht – Hôtel du Chasseral loop from Nods,Intermediate,6.51 mi,"2,075 ft","2,075 ft",03:46,1.7 mph
https://www.komoot.com/smarttour/12205842,Prêles – Mont Sujet loop from Prêles,Expert,10.9 mi,"2,275 ft","2,275 ft",05:32,2.0 mph
https://www.komoot.com/smarttour/8006551,Parkplatz in Nods – Grossartige Fernsicht loop from Nods,Intermediate,4.69 mi,"1,450 ft","1,450 ft",02:39,1.8 mph
https://www.komoot.com/smarttour/5472502,Bison Ranch – Metairie de Prêles loop from Orvin,Easy,3.99 mi,600 ft,600 ft,01:53,2.1 mph
https://www.komoot.com/smarttour/1516746,Blick ins Seeland Alpen – Antenne de Chasseral loop from Lamboing,Expert,14.6 mi,"3,450 ft","3,450 ft",07:35,1.9 mph
https://www.komoot.com/smarttour/12193355,Hôtel du Chasseral – La Combe Biosse loop from Cormoret,Intermediate,8.03 mi,"1,800 ft","1,800 ft",04:12,1.9 mph
https://www.komoot.com/smarttour/12206857,Moutier – Petit étang gelé loop from Moutier,Expert,11.1 mi,"1,800 ft","1,800 ft",05:20,2.1 mph
https://www.komoot.com/smarttour/424272,Combe Fabet – Rückweg loop from Moutier,Intermediate,9.13 mi,"1,475 ft","1,475 ft",04:24,2.1 mph
https://www.komoot.com/smarttour/992907,Combe Fabet – Rückweg loop from Court,Intermediate,9.27 mi,"1,475 ft","1,475 ft",04:28,2.1 mph
https://www.komoot.com/smarttour/992907,Combe Fabet – Rückweg loop from Court,Intermediate,9.27 mi,"1,475 ft","1,475 ft",04:28,2.1 mph
https://www.komoot.com/smarttour/991195,Wasserfall – Mont Raimeux loop from Crémines,Intermediate,8.66 mi,"2,325 ft","2,325 ft",04:45,1.8 mph
https://www.komoot.com/smarttour/4175609,Wasserfall – Unter der Krete loop from Crémines,Intermediate,7.33 mi,"2,200 ft","2,200 ft",04:10,1.8 mph
https://www.komoot.com/smarttour/712032,Grüner See (le lac vert) – Le Lac Vert loop from Sornetan,Intermediate,6.92 mi,"1,725 ft","1,725 ft",03:41,1.9 mph
https://www.komoot.com/smarttour/8008482,Gorges de Perrefitte loop from Perrefitte,Easy,3.57 mi,925 ft,925 ft,01:53,1.9 mph
https://www.komoot.com/smarttour/1597323,Wasserfall – Mont Raimeux loop from Corcelles,Expert,13.2 mi,"3,825 ft","3,825 ft",07:31,1.8 mph
https://www.komoot.com/smarttour/5488933,Wasserfall – Unter der Krete loop from Grandval,Intermediate,6.76 mi,"1,650 ft","1,650 ft",03:38,1.9 mph
https://www.komoot.com/smarttour/5490631,Unter der Krete – Wasserfall loop from Grandval,Expert,12.0 mi,"2,900 ft","2,925 ft",06:24,1.9 mph
https://www.komoot.com/smarttour/991161,Wasserfall – Unter der Krete loop from Corcelles,Intermediate,4.41 mi,"1,475 ft","1,475 ft",02:37,1.7 mph
https://www.komoot.com/smarttour/1593265,Mont Raimeux – Tour d'observation des Raimeux loop from Vieille Ville,Expert,11.7 mi,"2,875 ft","2,875 ft",06:11,1.9 mph
https://www.komoot.com/smarttour/1516480,Maison de la Tête de Moine – Herrliche Aussicht loop from Bellelay,Intermediate,10.4 mi,"1,050 ft","1,025 ft",04:39,2.2 mph
https://www.komoot.com/smarttour/1515085,Riesiger Platz für eine Pause – Maison de la Tête de Moine loop from Bellelay,Intermediate,6.87 mi,975 ft,975 ft,03:14,2.1 mph
https://www.komoot.com/smarttour/12192681,Le Lac Vert – Grüner See (le lac vert) loop from Souboz,Intermediate,5.33 mi,"1,375 ft","1,375 ft",02:50,1.9 mph
https://www.komoot.com/smarttour/12239279,Mont Raimeux – Tour d'observation des Raimeux loop from Moutier,Expert,9.41 mi,"2,650 ft","2,650 ft",05:12,1.8 mph
https://www.komoot.com/smarttour/711156,Cabane Combioz (1300m) – Cabane Moron (1313m) du CAS loop from Champoz,Intermediate,5.20 mi,"1,350 ft","1,350 ft",02:50,1.8 mph
https://www.komoot.com/smarttour/5474176,Gorges de Perrefitte – Cabane Moron (1313m) du CAS loop from Perrefitte,Expert,9.78 mi,"2,550 ft","2,550 ft",05:17,1.9 mph
https://www.komoot.com/smarttour/1515090,Cheval Equestre Bellelay – Maison de la Tête de Moine loop from Bellelay,Intermediate,6.20 mi,525 ft,500 ft,02:44,2.3 mph
https://www.komoot.com/smarttour/992881,Cabane Moron (1313m) du CAS – Alpen Panorama loop from Champoz,Intermediate,6.96 mi,"1,400 ft","1,400 ft",03:34,2.0 mph
https://www.komoot.com/smarttour/1842518,Alte Synagoge loop from Endingen,Easy,4.02 mi,400 ft,400 ft,01:48,2.2 mph
https://www.komoot.com/smarttour/1834094,Aussicht über Würenlingen – Alte Synagoge loop from Endingen,Easy,4.06 mi,175 ft,175 ft,01:43,2.4 mph
https://www.komoot.com/smarttour/4307525,Alte Synagoge – Pumpwerk loop from Endingen,Intermediate,6.89 mi,350 ft,350 ft,02:56,2.3 mph
https://www.komoot.com/smarttour/4307525,Alte Synagoge – Pumpwerk loop from Endingen,Intermediate,6.89 mi,350 ft,350 ft,02:56,2.3 mph
https://www.komoot.com/smarttour/4307521,Flügerlispielplatz – Alte Synagoge loop from Endingen,Intermediate,5.21 mi,625 ft,625 ft,02:24,2.2 mph
https://www.komoot.com/smarttour/5572287,Alte Synagoge – Flügerlispielplatz loop from Endingen,Intermediate,6.40 mi,700 ft,700 ft,02:53,2.2 mph
https://www.komoot.com/smarttour/8238078,Blick auf Endingen – Waldhütte Langforen loop from Endingen,Intermediate,4.86 mi,575 ft,575 ft,02:14,2.2 mph
https://www.komoot.com/smarttour/1834070,Alte Synagoge – Blick auf Endingen loop from Endingen,Intermediate,4.63 mi,825 ft,825 ft,02:15,2.1 mph
https://www.komoot.com/smarttour/5570052,Waldhütte Langforen – Blick auf Endingen loop from Endingen,Intermediate,5.78 mi,700 ft,700 ft,02:39,2.2 mph
https://www.komoot.com/smarttour/5570047,Sonnenuntergang – Alte Synagoge loop from Endingen,Easy,3.58 mi,300 ft,300 ft,01:35,2.3 mph
https://www.komoot.com/smarttour/1842540,Flügerlispielplatz loop from Endingen,Intermediate,6.62 mi,700 ft,700 ft,02:59,2.2 mph
https://www.komoot.com/smarttour/8239218,Aussicht über Würenlingen – Sonnenuntergang loop from Würenlingen,Easy,3.78 mi,300 ft,275 ft,01:39,2.3 mph
https://www.komoot.com/smarttour/8230958,Pumpwerk – Alte Synagoge loop from Endingen,Intermediate,6.30 mi,300 ft,300 ft,02:41,2.4 mph
https://www.komoot.com/smarttour/8238192,Sonnenuntergang – Alte Synagoge loop from Unterendingen,Easy,3.43 mi,275 ft,275 ft,01:31,2.3 mph
https://www.komoot.com/smarttour/8237635,Steinbruch Musital – Flügerlispielplatz loop from Endingen,Intermediate,8.45 mi,925 ft,925 ft,03:51,2.2 mph
https://www.komoot.com/smarttour/8236593,Fischtreppe – Pumpwerk loop from Endingen,Intermediate,5.99 mi,300 ft,300 ft,02:33,2.3 mph
https://www.komoot.com/smarttour/1834061,Sonnenuntergang loop from Endingen,Easy,2.05 mi,250 ft,250 ft,00:56,2.2 mph
https://www.komoot.com/smarttour/1515945,Wilde Jura-Wiesen – Etang de la Gruère loop from Tramelan-Chalet,Intermediate,10.6 mi,975 ft,975 ft,04:44,2.2 mph
https://www.komoot.com/smarttour/8007370,Erholung im Hochmoor – Etang de la Gruère loop from Les Reussilles,Intermediate,7.78 mi,525 ft,525 ft,03:22,2.3 mph
https://www.komoot.com/smarttour/992836,Wasserfall Tubeloch-Schlucht – Eingang zur Taubenlochschlucht loop from Evilard,Easy,3.45 mi,425 ft,425 ft,01:36,2.2 mph
https://www.komoot.com/smarttour/992836,Wasserfall Tubeloch-Schlucht – Eingang zur Taubenlochschlucht loop from Evilard,Easy,3.45 mi,425 ft,425 ft,01:36,2.2 mph
https://www.komoot.com/smarttour/8010332,Blick ins Seeland Alpen – Antenne de Chasseral loop from Cortébert,Intermediate,10.5 mi,"1,300 ft","1,300 ft",04:50,2.2 mph
https://www.komoot.com/smarttour/4146169,Combe Grède – Hôtel du Chasseral loop from Villeret,Expert,10.9 mi,"2,900 ft","2,900 ft",06:22,1.7 mph
https://www.komoot.com/smarttour/711145,Jurahaus – Bison Ranch loop from Orvin,Intermediate,6.14 mi,"1,125 ft","1,125 ft",03:04,2.0 mph
https://www.komoot.com/smarttour/992812,Wilde Jura-Wiesen – Etang de la Gruère loop from Les Reussilles,Easy,3.31 mi,200 ft,175 ft,01:25,2.3 mph
https://www.komoot.com/smarttour/5471494,Drei-Seen-Sicht vom Mont-Sujet – Mont Sujet loop from Orvin,Intermediate,6.23 mi,"1,200 ft","1,200 ft",03:04,2.0 mph
https://www.komoot.com/smarttour/4147568,Drei-Seen-Sicht vom Mont-Sujet – Bergerie du Haut loop from Orvin,Intermediate,5.18 mi,950 ft,950 ft,02:32,2.0 mph
https://www.komoot.com/smarttour/1514964,Mont Sujet – Drei-Seen-Sicht vom Mont-Sujet loop from Orvin,Intermediate,6.82 mi,"1,150 ft","1,150 ft",03:18,2.1 mph
https://www.komoot.com/smarttour/8010652,Combe Grède – Antenne de Chasseral loop from Villeret,Expert,13.3 mi,"3,150 ft","3,150 ft",07:25,1.8 mph
https://www.komoot.com/smarttour/4148392,Hôtel du Chasseral – Combe Grède loop from Villeret,Expert,6.07 mi,"2,525 ft","2,525 ft",04:33,1.3 mph
https://www.komoot.com/smarttour/1511961,Hiking loop from Cormoret,Intermediate,7.37 mi,675 ft,675 ft,03:17,2.2 mph
https://www.komoot.com/smarttour/8004155,Mont Soleil loop from Mont Soleil,Intermediate,8.45 mi,950 ft,950 ft,03:51,2.2 mph
https://www.komoot.com/smarttour/8005133,Jurahaus – Picnic place loop from Orvin,Intermediate,4.54 mi,"1,025 ft","1,025 ft",02:23,1.9 mph
https://www.komoot.com/smarttour/4148159,Stierenberg – Restaurant Stierenberg loop from Romont,Intermediate,4.55 mi,650 ft,650 ft,02:08,2.1 mph
https://www.komoot.com/smarttour/992841,Blick ins Seeland Alpen – Antenne de Chasseral loop from Courtelary,Intermediate,7.21 mi,"1,275 ft","1,300 ft",03:30,2.1 mph
https://www.komoot.com/smarttour/1516232,Montoz loop from Reuchenette-Péry,Expert,9.35 mi,"2,450 ft","2,450 ft",05:09,1.8 mph
https://www.komoot.com/smarttour/1516611,Métairie de la Werdtberg – Chaîne de Montoz loop from La Heutte,Expert,11.4 mi,"2,550 ft","2,550 ft",05:57,1.9 mph
https://www.komoot.com/smarttour/1515660,"Restaurant Bözingenberg – Bergerie, blick auf Chasseral loop from Romont",Intermediate,6.44 mi,950 ft,950 ft,03:01,2.1 mph
https://www.komoot.com/smarttour/1132421,Schloss Aarwangen loop from Aarwangen Schloss,Easy,4.63 mi,200 ft,175 ft,01:57,2.4 mph
https://www.komoot.com/smarttour/1816503,Stauwehr Murg – Murg Naturschutzzone loop from Schwarzhäusern,Intermediate,7.13 mi,475 ft,475 ft,03:06,2.3 mph
https://www.komoot.com/smarttour/560318,Aspisee – Picknickplatz mit Feuerstelle loop from St. Urban,Intermediate,6.69 mi,600 ft,600 ft,02:58,2.3 mph
https://www.komoot.com/smarttour/560318,Aspisee – Picknickplatz mit Feuerstelle loop from St. Urban,Intermediate,6.69 mi,600 ft,600 ft,02:58,2.3 mph
https://www.komoot.com/smarttour/8023968,Aspisee – Tierpark Langenthal loop from Langenthal,Intermediate,6.80 mi,575 ft,575 ft,03:00,2.3 mph
https://www.komoot.com/smarttour/5478313,Schöne Hügellandschaft loop from Gerbe,Intermediate,9.49 mi,"1,375 ft","1,375 ft",04:29,2.1 mph
https://www.komoot.com/smarttour/1817339,Urkraft Aare – Reformierte Kirche Wynau loop from Roggwil-Wynau,Intermediate,8.67 mi,525 ft,525 ft,03:44,2.3 mph
https://www.komoot.com/smarttour/560289,Hohwacht – Hochwacht loop from Madiswil,Intermediate,5.73 mi,775 ft,775 ft,02:42,2.1 mph
https://www.komoot.com/smarttour/1132415,Ehemaliges Kloster St. Urban loop from St. Urban,Easy,3.87 mi,300 ft,300 ft,01:42,2.3 mph
https://www.komoot.com/smarttour/1815691,Ruine Grünenberg Melchnau loop from Melchnau,Intermediate,3.92 mi,375 ft,425 ft,01:46,2.2 mph
https://www.komoot.com/smarttour/8022760,Ruine Grünenberg Melchnau loop from Altbüron,Intermediate,4.15 mi,425 ft,425 ft,01:52,2.2 mph
https://www.komoot.com/smarttour/8022056,Trübelbachweiher – Ehemaliges Kloster St. Urban loop from St. Urban,Easy,3.45 mi,300 ft,300 ft,01:32,2.3 mph
https://www.komoot.com/smarttour/1132388,Langeten Fussweg – Langete Flussverlauf loop from Madiswil,Easy,2.99 mi,75 ft,75 ft,01:14,2.4 mph
https://www.komoot.com/smarttour/1817005,Hochwacht loop from Grossdietwil,Intermediate,8.41 mi,"1,125 ft","1,125 ft",03:56,2.1 mph
https://www.komoot.com/smarttour/12219217,Önz Mündung – Vogelroupfi - Blick loop from Aarwangen Schloss,Intermediate,7.41 mi,275 ft,275 ft,03:07,2.4 mph
https://www.komoot.com/smarttour/1815515,Sängeliweier – Spazierweg Waldrand loop from Trubberg,Intermediate,5.03 mi,275 ft,275 ft,02:09,2.3 mph
https://www.komoot.com/smarttour/5477801,Spazierweg Waldrand – Sängeliweier loop from Lotzwil,Intermediate,5.23 mi,300 ft,300 ft,02:14,2.3 mph
https://www.komoot.com/smarttour/1812871,Spazierweg Waldrand – Sängeliweier loop from Langenthal,Easy,3.96 mi,175 ft,175 ft,01:41,2.4 mph
https://www.komoot.com/smarttour/8024912,Hochwacht – Wässermatte loop from Langenthal,Expert,12.5 mi,"1,425 ft","1,425 ft",05:47,2.2 mph
https://www.komoot.com/smarttour/8022917,Erlebnisspfad Roggwil loop from Langenthal,Intermediate,5.43 mi,300 ft,300 ft,02:19,2.3 mph
https://www.komoot.com/smarttour/8023938,Erlebnisspfad Roggwil loop from Roggwil Buchägerten,Intermediate,7.31 mi,575 ft,575 ft,03:12,2.3 mph
https://www.komoot.com/smarttour/1814757,"Ämmeuferweg – ""Emme Schwelle bei Aefligen"" loop from Utzenstorf",Intermediate,7.31 mi,175 ft,175 ft,03:01,2.4 mph
https://www.komoot.com/smarttour/4169926,Utzensdorf: Schloss Landshut – Schloss Landshut loop from Gerlafingen,Intermediate,7.31 mi,200 ft,200 ft,03:02,2.4 mph
https://www.komoot.com/smarttour/1814778,Schloss Landshut – Utzensdorf: Schloss Landshut loop from Utzenstorf,Intermediate,7.66 mi,250 ft,250 ft,03:12,2.4 mph
https://www.komoot.com/smarttour/1814778,Schloss Landshut – Utzensdorf: Schloss Landshut loop from Utzenstorf,Intermediate,7.66 mi,250 ft,250 ft,03:12,2.4 mph
https://www.komoot.com/smarttour/12212984,Hiking loop from Gerlafingen,Easy,4.26 mi,175 ft,175 ft,01:48,2.4 mph
https://www.komoot.com/smarttour/4165204,Schloss Landshut – Utzensdorf: Schloss Landshut loop from Bätterkinden,Easy,3.47 mi,50 ft,50 ft,01:25,2.4 mph
https://www.komoot.com/smarttour/12212862,Hiking loop from Bätterkinden,Easy,3.79 mi,100 ft,100 ft,01:34,2.4 mph
https://www.komoot.com/smarttour/4171322,Aussichtspunkt loop from Schönbühl,Intermediate,6.69 mi,825 ft,825 ft,03:04,2.2 mph
https://www.komoot.com/smarttour/12216040,Hiking loop from Wiler,Intermediate,5.94 mi,175 ft,175 ft,02:28,2.4 mph
https://www.komoot.com/smarttour/4170046,Hiking loop from Urtenen,Intermediate,5.06 mi,225 ft,225 ft,02:08,2.4 mph
https://www.komoot.com/smarttour/12218593,Bäckerei/Café Winz loop from Utzenstorf,Intermediate,6.04 mi,125 ft,125 ft,02:29,2.4 mph
https://www.komoot.com/smarttour/4172134,Hiking loop from Münchenbuchsee,Intermediate,7.08 mi,525 ft,525 ft,03:05,2.3 mph
https://www.komoot.com/smarttour/1813012,Aussichtspunkt Schwarzkopf – Aussichtspunkt loop from Moosseedorf,Intermediate,7.98 mi,"1,025 ft","1,025 ft",03:41,2.2 mph
https://www.komoot.com/smarttour/4169806,Aussicht oberhalb Golfplatz loop from Münchenbuchsee,Intermediate,5.67 mi,175 ft,175 ft,02:22,2.4 mph
https://www.komoot.com/smarttour/5477906,Schloss Jegenstorf – Schöner Brätliplatz loop from Jegenstorf,Intermediate,4.97 mi,250 ft,250 ft,02:07,2.3 mph
https://www.komoot.com/smarttour/1802673,Aussicht oberhalb Golfplatz loop from Moosseedorf,Intermediate,2.92 mi,125 ft,125 ft,01:14,2.4 mph
https://www.komoot.com/smarttour/8025566,Schloss Jegenstorf – faltuc loop from Schönbühl SBB,Intermediate,5.52 mi,100 ft,100 ft,02:16,2.4 mph
https://www.komoot.com/smarttour/12219627,Ämmeuferweg – Emmeweg loop from Utzenstorf,Expert,13.8 mi,350 ft,325 ft,05:43,2.4 mph
https://www.komoot.com/smarttour/1814741,Faltuc – Schloss Jegenstorf loop from Jegenstorf,Intermediate,7.21 mi,325 ft,325 ft,03:03,2.4 mph
https://www.komoot.com/smarttour/5477909,Natürlicher Urtenenbach loop from Jegenstorf,Intermediate,6.08 mi,325 ft,350 ft,02:36,2.3 mph
https://www.komoot.com/smarttour/12218745,Altisberg loop from Wiler,Intermediate,5.12 mi,250 ft,250 ft,02:10,2.4 mph
https://www.komoot.com/smarttour/1856344,Aussichtsplattform Harder – Augstmatthorn loop from Underem Berg,Expert,10.6 mi,"2,700 ft","2,700 ft",07:11,1.5 mph
https://www.komoot.com/smarttour/8041381,Aussichtsplattform Harder – Schibefluh - UNTERSEEN (CH) loop from Luziwichel,Intermediate,4.85 mi,"2,200 ft","2,225 ft",03:43,1.3 mph
https://www.komoot.com/smarttour/8041317,Aussichtsplattform Harder loop from Luziwichel,Intermediate,4.34 mi,"2,100 ft","2,100 ft",03:45,1.2 mph
