source,title,distance,elevation_up,elevation_down,duration,difficulty,fitness,link,dups
komoot,Schneebergli – Ausicht die begeistert loop from Bumbach,12.44,982.98,982.98,05:27:00,difficult,difficult,https://www.komoot.com/smarttour/1125043,"[('Schneebergli – Ausicht die begeistert loop from Bumbach', 100.0, 10)]"
komoot,Hängebrücke über die Emme loop from Eggiwil,9.99,373.38,373.38,03:07:00,medium,difficult,https://www.komoot.com/smarttour/1806170,"[('Hängebrücke über die Emme loop from Eggiwil', 100.0, 11)]"
komoot,Alp Restaurant Obere Lushütte – Lüderenalp loop from Ranflüh,12.46,281.94,281.94,03:33:00,medium,difficult,https://www.komoot.com/smarttour/1808074,"[('Alp Restaurant Obere Lushütte – Lüderenalp loop from Ranflüh', 100.0, 12)]"
komoot,Restaurant Bärnsicht – Lüderenalp loop from Ranflüh,5.38,121.92,121.92,01:31:00,easy,difficult,https://www.komoot.com/smarttour/1804827,"[('Restaurant Bärnsicht – Lüderenalp loop from Ranflüh', 100.0, 13)]"
komoot,ÄBERSOLD – Chuderhüsiturm loop from Röthenbach,8.31,259.08,259.08,02:30:00,medium,difficult,https://www.komoot.com/smarttour/5478675,"[('ÄBERSOLD – Chuderhüsiturm loop from Röthenbach', 100.0, 14)]"
komoot,Schallenbergpass loop from Schulweidli,10.42,327.66,327.66,03:08:00,medium,difficult,https://www.komoot.com/smarttour/1804122,"[('Schallenbergpass loop from Schulweidli', 100.0, 15)]"
komoot,Landgasthof Kemmeriboden Bad – Ausicht die begeistert loop from Bumbach,20.27,1043.94,1043.94,07:23:00,difficult,difficult,https://www.komoot.com/smarttour/12231749,"[('Landgasthof Kemmeriboden Bad – Ausicht die begeistert loop from Bumbach', 100.0, 16), ('Kemmeriboden Bad – Landgasthof Kemmeriboden Bad loop from Bumbach', 95.0, 8)]"
komoot,Kleiner Hofladen – Holzfiguren loop from Langnau,9.88,137.16,129.54,02:40:00,medium,difficult,https://www.komoot.com/smarttour/4170065,"[('Kleiner Hofladen – Holzfiguren loop from Langnau', 100.0, 17)]"
komoot,Waldhäusern – Blasenfluh loop from Emmenmatt,7.61,198.12,198.12,02:14:00,medium,difficult,https://www.komoot.com/smarttour/8024998,"[('Waldhäusern – Blasenfluh loop from Emmenmatt', 100.0, 18)]"
komoot,Napf – Höchänzi loop from Trub,16.26,754.38,754.38,05:23:00,difficult,difficult,https://www.komoot.com/smarttour/736294,"[('Napf – Höchänzi loop from Trub', 100.0, 19)]"
komoot,Aquädukt über die Schüss – Eingang zur Taubenlochschlucht loop from Evilard/Leubringen,9.85,365.76,373.38,03:04:00,medium,difficult,https://www.komoot.com/smarttour/711126,"[('Aquädukt über die Schüss – Eingang zur Taubenlochschlucht loop from Evilard/Leubringen', 100.0, 20)]"
komoot,Idyllischer Ort am Twannbach – Gorges de Douanne loop from Twann,13.49,556.26,556.26,04:20:00,medium,difficult,https://www.komoot.com/smarttour/1515868,"[('Idyllischer Ort am Twannbach – Gorges de Douanne loop from Twann', 100.0, 21), ('Gorges de Douanne – Idyllischer Ort am Twannbach loop from Twann', 95.0, 24)]"
komoot,Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Champagne,5.98,160.02,160.02,01:45:00,easy,difficult,https://www.komoot.com/smarttour/992832,"[('Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Champagne', 100.0, 22)]"
komoot,Idyllischer Ort am Twannbach – Gorges de Douanne loop from Magglingen/Macolin,17.97,609.6,609.6,05:28:00,difficult,difficult,https://www.komoot.com/smarttour/8010280,"[('Idyllischer Ort am Twannbach – Gorges de Douanne loop from Magglingen/Macolin', 100.0, 23)]"
komoot,Gorges de Douanne – Idyllischer Ort am Twannbach loop from Twann,9.92,411.48,411.48,03:12:00,medium,difficult,https://www.komoot.com/smarttour/1514836,"[('Gorges de Douanne – Idyllischer Ort am Twannbach loop from Twann', 100.0, 24), ('Idyllischer Ort am Twannbach – Gorges de Douanne loop from Twann', 95.0, 21)]"
komoot,Gorges de Douanne – Twann loop from Twann,7.59,434.34,434.34,02:41:00,medium,difficult,https://www.komoot.com/smarttour/711143,"[('Gorges de Douanne – Twann loop from Twann', 100.0, 25), ('Gorges de Douanne – Twann loop from Biel/Bienne', 95.0, 26)]"
komoot,Gorges de Douanne – Twann loop from Biel/Bienne,23.67,693.42,693.42,07:04:00,difficult,difficult,https://www.komoot.com/smarttour/1516143,"[('Gorges de Douanne – Twann loop from Biel/Bienne', 100.0, 26), ('Gorges de Douanne – Twann loop from Twann', 95.0, 25)]"
komoot,Gorges de Douanne – Überhang loop from Wingreis,10.41,457.2,457.2,03:23:00,medium,difficult,https://www.komoot.com/smarttour/5473464,"[('Gorges de Douanne – Überhang loop from Wingreis', 100.0, 27)]"
komoot,Aussicht Richtung Biel – Rebenweg oberhalb von Wingreis loop from Hohfluh,16.24,281.94,281.94,04:31:00,medium,difficult,https://www.komoot.com/smarttour/1516153,"[('Aussicht Richtung Biel – Rebenweg oberhalb von Wingreis loop from Hohfluh', 100.0, 28)]"
komoot,Alte Aare – Steg über die Aare loop from Scheuren,14.03,15.24,15.24,03:32:00,medium,difficult,https://www.komoot.com/smarttour/4148716,"[('Alte Aare – Steg über die Aare loop from Scheuren', 100.0, 29)]"
komoot,Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Boujean/Bözingen,8.68,297.18,297.18,02:38:00,medium,difficult,https://www.komoot.com/smarttour/1515526,"[('Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Boujean/Bözingen', 100.0, 30)]"
komoot,Aussicht Richtung Biel – Idyllischer Ort am Twannbach loop from Magglingenbahn/Funi Macolin,19.33,441.96,441.96,05:33:00,difficult,difficult,https://www.komoot.com/smarttour/5473606,"[('Aussicht Richtung Biel – Idyllischer Ort am Twannbach loop from Magglingenbahn/Funi Macolin', 100.0, 31)]"
komoot,Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Bienne Mâche - Biel Mett,14.93,518.16,518.16,04:36:00,medium,difficult,https://www.komoot.com/smarttour/8009357,"[('Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Bienne Mâche - Biel Mett', 100.0, 32), ('Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Biel/Bienne', 95.0, 35)]"
komoot,Gorges de Douanne – Idyllischer Ort am Twannbach loop from Lamboing,4.21,320.04,320.04,01:39:00,medium,difficult,https://www.komoot.com/smarttour/1513675,"[('Gorges de Douanne – Idyllischer Ort am Twannbach loop from Lamboing', 100.0, 33)]"
komoot,Twann – Kirche Ligerz loop from Twann,4.88,45.72,45.72,01:17:00,easy,difficult,https://www.komoot.com/smarttour/1513659,"[('Twann – Kirche Ligerz loop from Twann', 100.0, 34), ('Kirche Ligerz – Twann loop from Wingreis', 95.0, 1252)]"
komoot,Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Biel/Bienne,16.3,480.06,480.06,04:53:00,medium,difficult,https://www.komoot.com/smarttour/1516577,"[('Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Biel/Bienne', 100.0, 35), ('Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Bienne Mâche - Biel Mett', 95.0, 32)]"
komoot,Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Biel/Bienne,11.66,243.84,243.84,03:18:00,medium,difficult,https://www.komoot.com/smarttour/12205080,"[('Eingang zur Taubenlochschlucht – Aquädukt über die Schüss loop from Biel/Bienne', 100.0, 36)]"
komoot,Hängebrücke über die Zihl – Lago loop from Biel/Bienne,6.5,15.24,15.24,01:39:00,easy,difficult,https://www.komoot.com/smarttour/1513778,"[('Hängebrücke über die Zihl – Lago loop from Biel/Bienne', 100.0, 37)]"
komoot,Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Boujean/Bözingen,8.04,464.82,464.82,02:52:00,medium,difficult,https://www.komoot.com/smarttour/5473187,"[('Eingang zur Taubenlochschlucht – Wasserfall Tubeloch-Schlucht loop from Boujean/Bözingen', 100.0, 38)]"
komoot,Badebuchten bei Ipsach – Strandbad Sutz-Lattrigen loop from Nidau,9.1,30.48,30.48,02:19:00,medium,difficult,https://www.komoot.com/smarttour/4147386,"[('Badebuchten bei Ipsach – Strandbad Sutz-Lattrigen loop from Nidau', 100.0, 39)]"
komoot,Blick ins Seeland Alpen – Antenne de Chasseral loop from Cortébert,16.95,396.24,396.24,04:50:00,medium,difficult,https://www.komoot.com/smarttour/8010332,"[('Blick ins Seeland Alpen – Antenne de Chasseral loop from Cortébert', 100.0, 40)]"
komoot,Antenne de Chasseral – Blick ins Seeland Alpen loop from Cormoret,15.94,396.24,396.24,04:35:00,medium,difficult,https://www.komoot.com/smarttour/992886,"[('Antenne de Chasseral – Blick ins Seeland Alpen loop from Cormoret', 100.0, 41), ('Blick ins Seeland Alpen – Antenne de Chasseral loop from Cormoret', 95.0, 49)]"
komoot,Jurahaus – Bison Ranch loop from Orvin,9.86,320.04,327.66,02:53:00,medium,difficult,https://www.komoot.com/smarttour/1513870,"[('Jurahaus – Bison Ranch loop from Orvin', 100.0, 42), ('Jurahaus – Bison Ranch loop from Orvin', 100.0, 99)]"
komoot,Hôtel du Chasseral – Grossartige Fernsicht loop from Nods,7.96,647.7,647.7,03:15:00,medium,difficult,https://www.komoot.com/smarttour/992843,"[('Hôtel du Chasseral – Grossartige Fernsicht loop from Nods', 100.0, 43), ('Grossartige Fernsicht – Hôtel du Chasseral loop from Nods', 95.0, 53)]"
komoot,Blick ins Seeland Alpen – Antenne de Chasseral loop from Nods,17.57,739.14,739.14,05:34:00,difficult,difficult,https://www.komoot.com/smarttour/1516333,"[('Blick ins Seeland Alpen – Antenne de Chasseral loop from Nods', 100.0, 44)]"
komoot,Idyllischer Ort am Twannbach – Kirche Ligerz loop from Prêles,8.42,373.38,373.38,02:47:00,medium,difficult,https://www.komoot.com/smarttour/12199881,"[('Idyllischer Ort am Twannbach – Kirche Ligerz loop from Prêles', 100.0, 45)]"
komoot,Grossartige Fernsicht – Hôtel du Chasseral loop from Lignières,13.2,746.76,746.76,04:39:00,medium,difficult,https://www.komoot.com/smarttour/12202898,"[('Grossartige Fernsicht – Hôtel du Chasseral loop from Lignières', 100.0, 46)]"
komoot,Le Chasseral – Antenne de Chasseral loop from Cormoret,2.77,53.34,53.34,00:46:00,easy,difficult,https://www.komoot.com/smarttour/711108,"[('Le Chasseral – Antenne de Chasseral loop from Cormoret', 100.0, 47), ('Le Chasseral – Antenne de Chasseral loop from Cormoret', 100.0, 838)]"
komoot,Gorges de Douanne – Idyllischer Ort am Twannbach loop from Ligerz,12.47,411.48,411.48,03:49:00,medium,difficult,https://www.komoot.com/smarttour/711106,"[('Gorges de Douanne – Idyllischer Ort am Twannbach loop from Ligerz', 100.0, 48)]"
komoot,Blick ins Seeland Alpen – Antenne de Chasseral loop from Cormoret,5.31,129.54,137.16,01:32:00,easy,difficult,https://www.komoot.com/smarttour/5473353,"[('Blick ins Seeland Alpen – Antenne de Chasseral loop from Cormoret', 100.0, 49), ('Antenne de Chasseral – Blick ins Seeland Alpen loop from Cormoret', 95.0, 41)]"
komoot,Kirche Ligerz – Die Kirche von Ligerz loop from La Neuveville,9.89,213.36,213.36,02:49:00,medium,difficult,https://www.komoot.com/smarttour/8006451,"[('Kirche Ligerz – Die Kirche von Ligerz loop from La Neuveville', 100.0, 50)]"
komoot,Drei-Seen-Sicht vom Mont-Sujet – Mont Sujet loop from Lamboing,13.46,586.74,586.74,04:19:00,medium,difficult,https://www.komoot.com/smarttour/1514794,"[('Drei-Seen-Sicht vom Mont-Sujet – Mont Sujet loop from Lamboing', 100.0, 51)]"
komoot,Parkplatz in Nods – Nods - L‘Aiguillon loop from Nods,7.44,144.78,144.78,02:04:00,medium,difficult,https://www.komoot.com/smarttour/1513610,"[('Parkplatz in Nods – Nods - L‘Aiguillon loop from Nods', 100.0, 52)]"
komoot,Grossartige Fernsicht – Hôtel du Chasseral loop from Nods,10.39,632.46,632.46,03:46:00,medium,difficult,https://www.komoot.com/smarttour/8008534,"[('Grossartige Fernsicht – Hôtel du Chasseral loop from Nods', 100.0, 53), ('Hôtel du Chasseral – Grossartige Fernsicht loop from Nods', 95.0, 43)]"
komoot,Prêles – Mont Sujet loop from Prêles,17.47,693.42,693.42,05:32:00,difficult,difficult,https://www.komoot.com/smarttour/12205842,"[('Prêles – Mont Sujet loop from Prêles', 100.0, 54)]"
komoot,Parkplatz in Nods – Grossartige Fernsicht loop from Nods,7.48,441.96,441.96,02:39:00,medium,difficult,https://www.komoot.com/smarttour/8006551,"[('Parkplatz in Nods – Grossartige Fernsicht loop from Nods', 100.0, 55)]"
komoot,Bison Ranch – Metairie de Prêles loop from Orvin,6.41,182.88,182.88,01:53:00,easy,difficult,https://www.komoot.com/smarttour/5472502,"[('Bison Ranch – Metairie de Prêles loop from Orvin', 100.0, 56)]"
komoot,Blick ins Seeland Alpen – Antenne de Chasseral loop from Lamboing,23.41,1051.56,1051.56,07:35:00,difficult,difficult,https://www.komoot.com/smarttour/1516746,"[('Blick ins Seeland Alpen – Antenne de Chasseral loop from Lamboing', 100.0, 57)]"
komoot,Hôtel du Chasseral – La Combe Biosse loop from Cormoret,12.86,548.64,548.64,04:12:00,medium,difficult,https://www.komoot.com/smarttour/12193355,"[('Hôtel du Chasseral – La Combe Biosse loop from Cormoret', 100.0, 58)]"
komoot,Moutier – Petit étang gelé loop from Moutier,17.76,548.64,548.64,05:20:00,difficult,difficult,https://www.komoot.com/smarttour/12206857,"[('Moutier – Petit étang gelé loop from Moutier', 100.0, 59)]"
komoot,Combe Fabet – Rückweg loop from Moutier,14.67,449.58,449.58,04:24:00,medium,difficult,https://www.komoot.com/smarttour/424272,"[('Combe Fabet – Rückweg loop from Moutier', 100.0, 60)]"
komoot,Combe Fabet – Rückweg loop from Court,14.88,449.58,449.58,04:28:00,medium,difficult,https://www.komoot.com/smarttour/992907,"[('Combe Fabet – Rückweg loop from Court', 100.0, 61)]"
komoot,Wasserfall – Mont Raimeux loop from Crémines,13.83,708.66,708.66,04:45:00,medium,difficult,https://www.komoot.com/smarttour/991195,"[('Wasserfall – Mont Raimeux loop from Crémines', 100.0, 62)]"
komoot,Wasserfall – Unter der Krete loop from Crémines,11.7,670.56,670.56,04:10:00,medium,difficult,https://www.komoot.com/smarttour/4175609,"[('Wasserfall – Unter der Krete loop from Crémines', 100.0, 63)]"
komoot,Grüner See (le lac vert) – Le Lac Vert loop from Sornetan,7.31,525.78,525.78,03:41:00,medium,difficult,https://www.komoot.com/smarttour/712032,"[('Grüner See (le lac vert) – Le Lac Vert loop from Sornetan', 100.0, 64), ('Grüner See (le lac vert) – Le Lac Vert loop from Sornetan', 100.0, 833)]"
komoot,Gorges de Perrefitte loop from Perrefitte,5.71,281.94,281.94,01:53:00,easy,difficult,https://www.komoot.com/smarttour/8008482,"[('Gorges de Perrefitte loop from Perrefitte', 100.0, 65)]"
komoot,Wasserfall – Mont Raimeux loop from Corcelles,20.98,1165.86,1165.86,07:31:00,difficult,difficult,https://www.komoot.com/smarttour/1597323,"[('Wasserfall – Mont Raimeux loop from Corcelles', 100.0, 66)]"
komoot,Wasserfall – Unter der Krete loop from Grandval,10.82,502.92,502.92,03:38:00,medium,difficult,https://www.komoot.com/smarttour/5488933,"[('Wasserfall – Unter der Krete loop from Grandval', 100.0, 67), ('Unter der Krete – Wasserfall loop from Grandval', 95.0, 68)]"
komoot,Unter der Krete – Wasserfall loop from Grandval,19.18,883.92,891.54,06:24:00,difficult,difficult,https://www.komoot.com/smarttour/5490631,"[('Unter der Krete – Wasserfall loop from Grandval', 100.0, 68), ('Wasserfall – Unter der Krete loop from Grandval', 95.0, 67)]"
komoot,Wasserfall – Unter der Krete loop from Corcelles,7.02,449.58,449.58,02:37:00,medium,difficult,https://www.komoot.com/smarttour/991161,"[('Wasserfall – Unter der Krete loop from Corcelles', 100.0, 69)]"
komoot,Mont Raimeux – Tour d'observation des Raimeux loop from Vieille Ville,18.69,876.3,876.3,06:11:00,difficult,difficult,https://www.komoot.com/smarttour/1593265,"[(""Mont Raimeux – Tour d'observation des Raimeux loop from Vieille Ville"", 100.0, 70)]"
komoot,Maison de la Tête de Moine – Herrliche Aussicht loop from Bellelay,16.7,320.04,312.42,04:39:00,medium,difficult,https://www.komoot.com/smarttour/1516480,"[('Maison de la Tête de Moine – Herrliche Aussicht loop from Bellelay', 100.0, 71)]"
komoot,Riesiger Platz für eine Pause – Maison de la Tête de Moine loop from Bellelay,11.03,297.18,297.18,03:14:00,medium,difficult,https://www.komoot.com/smarttour/1515085,"[('Riesiger Platz für eine Pause – Maison de la Tête de Moine loop from Bellelay', 100.0, 72)]"
komoot,Le Lac Vert – Grüner See (le lac vert) loop from Souboz,8.53,419.1,419.1,02:50:00,medium,difficult,https://www.komoot.com/smarttour/12192681,"[('Le Lac Vert – Grüner See (le lac vert) loop from Souboz', 100.0, 73)]"
komoot,Mont Raimeux – Tour d'observation des Raimeux loop from Moutier,15.04,807.72,807.72,05:12:00,difficult,difficult,https://www.komoot.com/smarttour/12239279,"[(""Mont Raimeux – Tour d'observation des Raimeux loop from Moutier"", 100.0, 74)]"
komoot,Cabane Combioz (1300m) – Cabane Moron (1313m) du CAS loop from Champoz,8.33,411.48,411.48,02:50:00,medium,difficult,https://www.komoot.com/smarttour/711156,"[('Cabane Combioz (1300m) – Cabane Moron (1313m) du CAS loop from Champoz', 100.0, 75)]"
komoot,Gorges de Perrefitte – Cabane Moron (1313m) du CAS loop from Perrefitte,15.65,777.24,777.24,05:17:00,difficult,difficult,https://www.komoot.com/smarttour/5474176,"[('Gorges de Perrefitte – Cabane Moron (1313m) du CAS loop from Perrefitte', 100.0, 76)]"
komoot,Cheval Equestre Bellelay – Maison de la Tête de Moine loop from Bellelay,9.97,160.02,152.4,02:44:00,medium,difficult,https://www.komoot.com/smarttour/1515090,"[('Cheval Equestre Bellelay – Maison de la Tête de Moine loop from Bellelay', 100.0, 77)]"
komoot,Cabane Moron (1313m) du CAS – Alpen Panorama loop from Champoz,11.16,426.72,426.72,03:34:00,medium,difficult,https://www.komoot.com/smarttour/992881,"[('Cabane Moron (1313m) du CAS – Alpen Panorama loop from Champoz', 100.0, 78)]"
komoot,Alte Synagoge loop from Endingen,6.55,121.92,121.92,01:48:00,easy,difficult,https://www.komoot.com/smarttour/1842518,"[('Alte Synagoge loop from Endingen', 100.0, 79), ('Alte Synagoge – Pumpwerk loop from Endingen', 95.0, 81), ('Pumpwerk – Alte Synagoge loop from Endingen', 95.0, 90)]"
komoot,Aussicht über Würenlingen – Alte Synagoge loop from Endingen,12.23,53.34,53.34,01:43:00,easy,difficult,https://www.komoot.com/smarttour/1834094,"[('Aussicht über Würenlingen – Alte Synagoge loop from Endingen', 100.0, 80)]"
komoot,Alte Synagoge – Pumpwerk loop from Endingen,11.11,106.68,106.68,02:56:00,medium,difficult,https://www.komoot.com/smarttour/4307525,"[('Alte Synagoge – Pumpwerk loop from Endingen', 100.0, 81), ('Alte Synagoge loop from Endingen', 95.0, 79), ('Pumpwerk – Alte Synagoge loop from Endingen', 95.0, 90)]"
komoot,Flügerlispielplatz – Alte Synagoge loop from Endingen,8.38,190.5,190.5,02:24:00,medium,difficult,https://www.komoot.com/smarttour/4307521,"[('Flügerlispielplatz – Alte Synagoge loop from Endingen', 100.0, 82), ('Alte Synagoge – Flügerlispielplatz loop from Endingen', 95.0, 83), ('Flügerlispielplatz loop from Endingen', 95.0, 88)]"
komoot,Alte Synagoge – Flügerlispielplatz loop from Endingen,10.29,213.36,213.36,02:53:00,medium,difficult,https://www.komoot.com/smarttour/5572287,"[('Alte Synagoge – Flügerlispielplatz loop from Endingen', 100.0, 83), ('Flügerlispielplatz – Alte Synagoge loop from Endingen', 95.0, 82), ('Flügerlispielplatz loop from Endingen', 95.0, 88)]"
komoot,Blick auf Endingen – Waldhütte Langforen loop from Endingen,7.82,175.26,175.26,02:14:00,medium,difficult,https://www.komoot.com/smarttour/8238078,"[('Blick auf Endingen – Waldhütte Langforen loop from Endingen', 100.0, 84), ('Waldhütte Langforen – Blick auf Endingen loop from Endingen', 95.0, 86)]"
komoot,Alte Synagoge – Blick auf Endingen loop from Endingen,7.43,251.46,251.46,02:15:00,medium,difficult,https://www.komoot.com/smarttour/1834070,"[('Alte Synagoge – Blick auf Endingen loop from Endingen', 100.0, 85)]"
komoot,Waldhütte Langforen – Blick auf Endingen loop from Endingen,9.29,213.36,213.36,02:39:00,medium,difficult,https://www.komoot.com/smarttour/5570052,"[('Waldhütte Langforen – Blick auf Endingen loop from Endingen', 100.0, 86), ('Blick auf Endingen – Waldhütte Langforen loop from Endingen', 95.0, 84)]"
komoot,Sonnenuntergang – Alte Synagoge loop from Endingen,5.76,91.44,91.44,01:35:00,easy,difficult,https://www.komoot.com/smarttour/5570047,"[('Sonnenuntergang – Alte Synagoge loop from Endingen', 100.0, 87), ('Sonnenuntergang – Alte Synagoge loop from Unterendingen', 95.23809523809523, 91), ('Sonnenuntergang loop from Endingen', 95.0, 94)]"
komoot,Flügerlispielplatz loop from Endingen,10.66,213.36,213.36,02:59:00,medium,difficult,https://www.komoot.com/smarttour/1842540,"[('Flügerlispielplatz loop from Endingen', 100.0, 88), ('Flügerlispielplatz – Alte Synagoge loop from Endingen', 95.0, 82), ('Alte Synagoge – Flügerlispielplatz loop from Endingen', 95.0, 83)]"
komoot,Aussicht über Würenlingen – Sonnenuntergang loop from Würenlingen,6.08,91.44,83.82,01:39:00,easy,difficult,https://www.komoot.com/smarttour/8239218,"[('Aussicht über Würenlingen – Sonnenuntergang loop from Würenlingen', 100.0, 89)]"
komoot,Pumpwerk – Alte Synagoge loop from Endingen,10.15,91.44,91.44,02:41:00,medium,difficult,https://www.komoot.com/smarttour/8230958,"[('Pumpwerk – Alte Synagoge loop from Endingen', 100.0, 90), ('Alte Synagoge loop from Endingen', 95.0, 79), ('Alte Synagoge – Pumpwerk loop from Endingen', 95.0, 81)]"
komoot,Sonnenuntergang – Alte Synagoge loop from Unterendingen,5.53,83.82,83.82,01:31:00,easy,difficult,https://www.komoot.com/smarttour/8238192,"[('Sonnenuntergang – Alte Synagoge loop from Unterendingen', 100.0, 91), ('Sonnenuntergang – Alte Synagoge loop from Endingen', 95.23809523809523, 87)]"
komoot,Steinbruch Musital – Flügerlispielplatz loop from Endingen,13.59,281.94,281.94,03:51:00,medium,difficult,https://www.komoot.com/smarttour/8237635,"[('Steinbruch Musital – Flügerlispielplatz loop from Endingen', 100.0, 92)]"
komoot,Fischtreppe – Pumpwerk loop from Endingen,9.65,91.44,91.44,02:33:00,medium,difficult,https://www.komoot.com/smarttour/8236593,"[('Fischtreppe – Pumpwerk loop from Endingen', 100.0, 93)]"
komoot,Sonnenuntergang loop from Endingen,3.3,76.2,76.2,00:56:00,easy,difficult,https://www.komoot.com/smarttour/1834061,"[('Sonnenuntergang loop from Endingen', 100.0, 94), ('Sonnenuntergang – Alte Synagoge loop from Endingen', 95.0, 87)]"
komoot,Wilde Jura-Wiesen – Etang de la Gruère loop from Tramelan-Chalet,17.06,297.18,297.18,04:44:00,medium,difficult,https://www.komoot.com/smarttour/1515945,"[('Wilde Jura-Wiesen – Etang de la Gruère loop from Tramelan-Chalet', 100.0, 95)]"
komoot,Erholung im Hochmoor – Etang de la Gruère loop from Les Reussilles,4.12,160.02,160.02,03:22:00,medium,difficult,https://www.komoot.com/smarttour/8007370,"[('Erholung im Hochmoor – Etang de la Gruère loop from Les Reussilles', 100.0, 96), ('Erholung im Hochmoor – Etang de la Gruère loop from Les Reussilles', 100.0, 1974)]"
komoot,Wasserfall Tubeloch-Schlucht – Eingang zur Taubenlochschlucht loop from Evilard,5.55,129.54,129.54,01:36:00,easy,difficult,https://www.komoot.com/smarttour/992836,"[('Wasserfall Tubeloch-Schlucht – Eingang zur Taubenlochschlucht loop from Evilard', 100.0, 97)]"
komoot,Combe Grède – Hôtel du Chasseral loop from Villeret,17.45,883.92,883.92,06:22:00,difficult,difficult,https://www.komoot.com/smarttour/4146169,"[('Combe Grède – Hôtel du Chasseral loop from Villeret', 100.0, 98), ('Hôtel du Chasseral – Combe Grède loop from Villeret', 95.0, 105)]"
komoot,Jurahaus – Bison Ranch loop from Orvin,9.35,342.9,342.9,03:04:00,medium,difficult,https://www.komoot.com/smarttour/711145,"[('Jurahaus – Bison Ranch loop from Orvin', 100.0, 42), ('Jurahaus – Bison Ranch loop from Orvin', 100.0, 99)]"
komoot,Wilde Jura-Wiesen – Etang de la Gruère loop from Les Reussilles,11.45,60.96,53.34,01:25:00,easy,difficult,https://www.komoot.com/smarttour/992812,"[('Wilde Jura-Wiesen – Etang de la Gruère loop from Les Reussilles', 100.0, 100), ('Wilde Jura-Wiesen – Etang de la Gruère loop from Les Reussilles', 100.0, 3143)]"
