title;subtitle;difficulty;time_ascent;ascent;time_descent;descent;link;map;description
Von La Fouly (Ferret);Bivacco Cesare Fiorio CAAI 2725 m;T3;3 h; 1050 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/bivacco-cesare-fiorio-caai-2147436061/mountain-hiking/von-la-fouly-ferret-41443/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/bivacco-cesare-fiorio-caai-2147436061/berg-und-alpinwandern/von-la-fouly-ferret-41443/;Von Ferret hinunter zur jungen Dranse de Ferret und auf markiertem Bergwanderweg an der Gite de la Léchère vorbei nach Lechère Dessus. Durch ein Tälchen zu P. 2144 und in die Combe des Fonds hinauf zum Petit Col Ferret. Auf der italienischen Seite etwas absteigen und bei P. 2459 nach rechts (W) abbiegen. Man gelangt über einen Felsriegel zu P. 2513. Von dort steigt der Weg relativ gleichmässig über Geröll und einige Felsen in NW-Richtung zum Biwak (2729 m).
Von der Alp Languard;Chamanna Georgy 3175 m;T4-;2:30 h; 860 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/chamanna-georgy-2147436654/mountain-hiking/von-der-alp-languard-41372/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/chamanna-georgy-2147436654/berg-und-alpinwandern/von-der-alp-languard-41372/;Von der Alp Languard folgt man dem markierten und ausgeschilderten Bergweg ziemlich genau ostwärts an der Talflanke der Val Languard entlang aufwärts, an mehreren Verzweigungen vorbei (Wegweiser beachten). Über Plaun da l’Esen und die Verzweigung bei P. 2822 gelangt man zu P. 2926 unter der Südflanke des Piz Languard. Nun geht es steil und in vielen Kehren durch die Südflanke aufwärts zur Georgys Hütte auf ca. 3180 m.
Von Carena;Capanna Gesero 2000 m;T2;3 h; 1050 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-gesero-2147000114/mountain-hiking/von-carena-40846/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/capanna-gesero-2147000114/berg-und-alpinwandern/von-carena-40846/;In Carena (958 m) schlägt man in der Nähe des Zollhauses den auf die Alpe Croveggia (1546 m) führenden, markierten gepflästerten und auch mit Tritten versehenen Weg ein. Damit gelangt man zur engen Kurve eines asphaltierten Strässchens (Abzweigung des Passo San Jorio). Auf diesem ansteigend nach ca. 50 m zu einem Wegweiser, der den Beginn des Hüttenweges markiert zu einem ersten Brunnen. Ein zweiter Brunnen auf ca. 1310 m und ein dritter auf ca. 1400 m beweisen uns, dass das Gebiet einst beweidet wurde. Aus dem Walde tretend erreicht man die Weide der Alpe Croveggia (1548 m), auf der man etwas links die Ruinen der Ställe und einen renovierten Bau bemerkt. Nun steigt der Weg im Zickzack steil zur Höhenkurve 1660 m hinauf, wo rechts ein Weg zur Alpe Pisciarotondo (1658 m) abzweigt (Wegweiser «Giggio»), Ein schöner Schräganstieg über offenes Weideland führt zum Sattel 1753 m. Hier wird man vom Anblick des Corno di Gesero überrascht (Die Telekommunikations- Einrichtungen bei P. 2201 der Cima delle Cicogne sind schon etwas früher sichtbar.). Nach dem Abstieg auf die Alpe di Gesero auf dem Strässchen in Kürze zum alten Hüttenstandort. Nun rechts dem Fahrweg entlang weiter in einer halben Stunde zum neuen Hüttenstandort «Biscia».
From the Arnisee via Nidersee (Normal route);Leutschachhütte SAC 2208 m;T2;2:30 h; 850 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leutschachhuette-sac-2147000153/mountain-hiking/from-the-arnisee-via-nidersee-358/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/leutschachhuette-sac-2147000153/berg-und-alpinwandern/vom-arnisee-ueber-nidersee-358/;From Intschi take a cable car to the Arnisee (1370 m). The well-marked approach follows the wide road to the Torli (1383 m) where the beautiful hike begins in earnest. Head through the valley from Leitschach via Chäserli, Bidemli and Leutschach to the Nidersee (2090 m). From the lake just a few hairpin bends bring you up to the Leutschachhütte.
Vom Arnisee über die Sunniggrathütte;Leutschachhütte SAC 2208 m;T3;4–5 h; 1000 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leutschachhuette-sac-2147000153/mountain-hiking/vom-arnisee-ueber-die-sunniggrathuette-1241/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/leutschachhuette-sac-2147000153/berg-und-alpinwandern/vom-arnisee-ueber-die-sunniggrathuette-1241/;Von Intschi mit der Luftseilbahn zum Arnisee. Vom nördlichen Seeufer auf markiertem Weg durch den Grüenwald über Riedboden und Grossgand zur Sunniggrathütte.
Vom Arnisee durch das Schindlachtal;Leutschachhütte SAC 2208 m;T3+;5 h; 1300 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leutschachhuette-sac-2147000153/mountain-hiking/vom-arnisee-durch-das-schindlachtal-40834/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/leutschachhuette-sac-2147000153/berg-und-alpinwandern/vom-arnisee-durch-das-schindlachtal-40834/;Von der Bergstation zum Arnisee, über den Leutschachbach und kurz nach Heissiegg auf schmaler Spur, welche den Hang nach Staldi quert. Über Seewlisegg zur Schindlachtalhütte.
Von Intschi mit der Seilbahn (Normal route);Leutschachhütte SAC 2208 m;AD;2:30–3 h; 840 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leutschachhuette-sac-2147000153/ski-touring/von-intschi-mit-der-seilbahn-3251/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/leutschachhuette-sac-2147000153/skitouren/von-intschi-mit-der-seilbahn-3251/;Von der Bergstation der Luftseilbahn Intschi – Arnisee (ca. 1368 m) via See nach Hinter Arni (1382 m). Den Leitschachbach überqueren und dann sofort Richtung Nordwesten ins Tal hinein. Via Chäserli (1480 m), in der Nähe von Heitersbüel am geometrischen Mittelpunkt (Felsblock) des Kantons Uri vorbei, durch die Talsohle in den Kessel bei Furt 1762 m. Hier wendet sich das Tal Richtung Südwesten. Bei günstigen Bedingungen durch das Bachtobel, am Schluss sehr steil (40° auf 40 Hm) über den Wasserfall direkt zum Nidersee (2091 m). Östlich des Bachgrabens, Abfluss des Obersees, nordwestwärts recht steil (35° auf 70 Hm) zum Seilbahnhäuschen hinauf und durch das Tobel hinüber zur Hütte.
Par le versant S et les lapiés des Truex;Tour de Mayen 2327 m;T3+;2:15 h; 810 m;1:45–2 h; 810 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/tour-de-mayen-1143/mountain-hiking/par-le-versant-s-et-les-lapies-des-truex-40836/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/tour-de-mayen-1143/berg-und-alpinwandern/par-le-versant-s-et-les-lapies-des-truex-40836/;De Tête d'Aï (arrivée du télésiège), rejoindre l'alpage de Mayen par la route. Emprunter le sentier balisé qui conduit au petit lac Segray (2066 m). Du lac, le sentier monte une pente schisteuse en écharpe jusqu'au Plan de Mayen (2340 m), d'où il s'élève en direction de la ceinture rocheuse, premier soubassement de la Tour de Mayen. Il contourne la base de la paroi rocheuse (WSW) et en suit le pied en s'élevant en direction NW. On atteint ainsi le versant SW de la tour, où il s'élève entre les promontoires rocheux pour gagner la coupole gazonnée du sommet. Un court couloir (une chaîne) conduit au sommet.
Par les Lapies di Bou / Verlornenberg;Dent Blanche / Gstellihore 2820 m;T4-;3:15–3:30 h; 950 m;3–3:15 h; 950 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dent-blanche-gstellihore-862/mountain-hiking/par-les-lapies-di-bou-verlornenberg-40833/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gstellihore-dent-blanche-862/berg-und-alpinwandern/ueber-verlornenberg-lapies-di-bou-40833/;De la station d'arrivée du téléphérique du Sanetsch, descendre par le sentier bien marqué au P. 1953. Traverser La Sarine (Saane) presque à sec et continuer sur ce même sentier qui franchit une épaule au NW du P. 2253 avant de redescendre dans le vallon du Verlornenberg. Monter directement à travers les Lapies di Bou pour rejoindre le P. 2580 situé sur l'arête NE reliant les Mountons à la Dent Blanche. Poursuivre sur cette arête peu inclinée pour gagner la Dent Blanche au travers de lapiés, dont certains sont crevassés! On retrouve, dans la dernière partie en caillasse, une sente qui conduit au sommet. Descente: par le même itinéraire ou Le passage à Bonvin (via ferrata de la face S).
En boucle par Le passage à Bonvin et les Lapies di Bou;Dent Blanche / Gstellihore 2820 m;T5;2:45–3:15 h; 810 m;3–3:15 h; 950 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dent-blanche-gstellihore-862/mountain-hiking/en-boucle-par-le-passage-a-bonvin-et-les-lapies-di-bou-40824/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gstellihore-dent-blanche-862/berg-und-alpinwandern/rundtour-ueber-le-passage-a-bonvin-und-verlornenberg-40824/;De la station supérieure de Sanetsch, passer devant l'Auberge du Sanetsch, traverser le barrage et longer la rive gauche du lac jusqu'au P. 2061 m. Quitter la route au niveau du virage et suivre la sente qui conduit au départ des voies d'escalade (cairns et marques de peinture rouge) jusqu'au pied de la face S du point culminant des Mountons. De là, se diriger WSW et longer toute la base de la falaise des Mountons par une sente assez bien visible. Le départ de la via ferrata se situe là où la falaise est la moins haute, quelques mètres après avoir passé sous le P. 2580 m et à gauche en contrebas d'une flèche rouge qui indiquait l'ancien départ de la via. Son ascension est courte et facile (env. 20 min): une succession d'échelons précède deux échelles qui débouchent à l'arête NE de la Dent Blanche. Ensuite il n'y a pas de sentier, ni de marque pour continuer. Suivre l'arête peu inclinée pour gagner la Dent Blanche au travers de lapiés, dont certains sont crevassés! On retrouve, dans la dernière partie en caillasse, une sente qui conduit au sommet.
From Curaglia via Val Plattas (Normal route);Medelserhütte SAC 2524 m;T2;3:30 h; 1200 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/medelserhuette-sac-2147000168/mountain-hiking/from-curaglia-via-val-plattas-207/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/medelserhuette-sac-2147000168/berg-und-alpinwandern/von-curaglia-durch-die-val-plattas-207/;"From Curaglia (1332 m) a road leads past the church and in two hairpin bends into Val Plattas. There is a fork at the entrance to Val Plattas; take the branch that remains in the valley west of Rein da Plattas, which gradually changes into a mountain track, ending at Stavels Veders (1965 m). Bypassing Alp Sura in a right-hand bend, you reach a bridge. After crossing the bridge, the marked mountain trail becomes steeper and you quickly gain height. After the steep couloir, the hut is already in sight."
Von Curaglia über den Piz Ault;Medelserhütte SAC 2524 m;T3;5:30 h; 1800 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/medelserhuette-sac-2147000168/mountain-hiking/von-curaglia-ueber-den-piz-ault-40831/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/medelserhuette-sac-2147000168/berg-und-alpinwandern/von-curaglia-ueber-den-piz-ault-40831/;Ab Curaglia (1332 m) auf steilem Bergweg, nur kurz auf der Forststrasse zur Verbauungshütte bei P. 1973. Weiter erst sanft dem Grat entlang, dann steiler zum Piz Ault Nordgipfel P. 2470. Nun folgt die als Bergwanderweg markierte Route, ein mancherorts unterbrochener Pfad, mit nur unbedeutenden Abweichungen dem Grat zum Südgipfel P. 2479 m und weiter über einige Erhebungen hinunter in die Fuorcla dalla Buora (2291 m).
Von Tenigerbad durch die Val Lavaz;Medelserhütte SAC 2524 m;T3;5:15 h; 1500 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/medelserhuette-sac-2147000168/mountain-hiking/von-tenigerbad-durch-die-val-lavaz-208/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/medelserhuette-sac-2147000168/berg-und-alpinwandern/von-tenigerbad-durch-die-val-lavaz-208/;Ab Tenigerbad (1305 m) benutzt die markierte Route zunächst teilweise das Alpsträsschen im Zickzack in die Val Vallesa, steigt dann steil hinauf zum Gratkamm beiund quert dann zur Alp Rentiert Davon. Von der Alp Rentiert setzt sich der Weg mit Auf und Ab von einer Weideterrasse zur nächsten fort, biegt auf der Alp Rentiert Dadens ins Val Lavaz ein und erreicht über Stavelatsch (2329 m) die Hütte.
From Curaglia (Normal route);Medelserhütte SAC 2524 m;PD+;4 h; 1200 m;NE; SW;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/medelserhuette-sac-2147000168/ski-touring/from-curaglia-3174/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/medelserhuette-sac-2147000168/skitouren/von-curaglia-3174/;From Curaglia (1334 m) head to the eastern end of the village, then follow the mountain road round into Val Plattas at P. 1596. Follow the west side of Rein da Plattas along the valley to Alp Sura (1980 m). The steep slopes that the summer path crosses at 1900 m can be avoided via the summit of Marschs P. 2052. The Alp Sura can also be reached, in safe conditions, via the east side of the Rein da Plattas. Follow the valley round to the east into a broad depression at the foot of the Sut Glatscher rocks, climb up to a narrowing (Fuorcla Pintga), pass through this steep gash (30 °), then continue more easily up to the Fuorcla da Lavaz (pass). Turn left to the hut.
Von der Medelserhütte über den Südgrat;Piz Caschleglia 2935 m;T4;1:30 h; 500 m;1 h; 500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/piz-caschleglia-307/mountain-hiking/von-der-medelserhuette-ueber-den-suedgrat-40829/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/piz-caschleglia-307/berg-und-alpinwandern/von-der-medelserhuette-ueber-den-suedgrat-40829/;"Von der Camona da Medel CAS (2524 m) auf dem markierten Bergwanderweg gegen Nordosten. Nach rund 10 Minuten wird das Gelände flacher und man verlässt den Bergweg bei einer roten Markierung an Steinblock mit Steinmann nach links, hinauf zum Rasenplateau bei der flachen Senke P. 2588 m. Nun auf Wegspuren dem Grat entlang bis zum südlichen Vorgipfel. Ab hier wird die Route exponierter; kurzer Abstieg zwischen Blöcken (Eisenklammern) und den Gipfelaufbau von rechts nach links (Pfeil, Markierungen, Ketten) in plattigem Gelände ersteigen. Abstieg auf der gleichen Route."
Bärenpfad;Niederhorn 1963 m;T4;3:30–4:30 h; 940 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/niederhorn-1293/mountain-hiking/baerenpfad-40823/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/niederhorn-1293/berg-und-alpinwandern/baerenpfad-40823/;Von der Talstation der Niederhornbahn ca. 50 Minuten auf der Strasse abwärts Richtung Grön/Justistal . Von Grön weitere ca. 30 Minuten auf der Strasse talaufwärts bis zum Püfelberg. Wenige Meter nach der Abzweigung, die zur Alphütte Püfel führt, erkennt man rechts (östlich) am Waldrand den Beginn des Bärenpfades.
Von der Bergstation Brüsti;Berggasthaus Brüsti 1530 m;T1;na;na;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/berggasthaus-bruesti-2140485050/mountain-hiking/von-der-bergstation-bruesti-40828/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/berggasthaus-bruesti-2140485050/berg-und-alpinwandern/von-der-bergstation-bruesti-40828/;Zur einen Türe raus, zur anderen rein. So kurz wie fein.
De Miex par le vallon de Verne;Les Cornettes de Bise 2431 m;T3;4:15 h; 1385 m;2:30 h; 1385 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/les-cornettes-de-bise-187/mountain-hiking/de-miex-par-le-vallon-de-verne-6667/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/les-cornettes-de-bise-187/berg-und-alpinwandern/von-miex-durch-das-vallon-de-verne-6667/;De Le Flon après Miex, suivre la route en terre battue du Lac de Taney. Peu après la première épingle, emprunter à gauche dans la forêt, le sentier de Plan de l’Ortie. Continuer sur la route d’alpage dans le fond du vallon, par En Verne et Le Cœur. Une dernière pente avec un bon sentier permet de gagner le col de Verne (1813 m). Du col, gravir le raide pâturage de La Calaz. Au chalet (2064 m), traverser en direction des Rochers de Chaudin (P. 2113), puis par des lapiaz monter au col 2255 m. Suivre intégralement l’itinéraire balisé jusqu’au sommet, en escaladant facilement un court ressaut rocheux.
Par le couloir de Séraukin;Les Cornettes de Bise 2431 m;T4;2:45–3:15 h; 1000 m;1:30–2 h; 1000 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/les-cornettes-de-bise-187/mountain-hiking/par-le-couloir-de-seraukin-40817/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/les-cornettes-de-bise-187/berg-und-alpinwandern/durch-das-couloir-de-seraukin-40817/;Du refuge de Bise (1502 m), un bon sentier grimpe en zigzag vers les Cornettes, puis oblique à droite sous les parois et débouche au Pas de la Bosse. Ensuite prendre au SE un sentier horizontal pour atteindre un large couloir, c'est le couloir Séraukin. Le sentier remonte cette pente et grimpe bientôt en zigzag sur une sorte de vire ascendante au pied de la falaise de l'arête SW. Au haut d'une zone rocailleuse, il franchit une vague cheminée et une crête pour arriver à la brèche de Séraukin: petite plate-forme dominant le site de Bise. Apres une brève traversée sur le versant S de La Chapelle (à noter que quelques spits sont en place pour sécuriser des passages au cas où il resterait des bouts de névés), gravir un escalier naturel menant sur l'arête SW. La sente suit plus ou moins cette crête puis continue de niveau à droite et au-dessus d'un grand cirque rocheux. Dès que le sommet est en vue, elle monte directement vers celui-ci dans une pente d'herbe et de lapiaz.
Von St. Martin oder Gigerwald;Schräawislihütte 1732 m;T2;1:15 h; 400 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/schraeawislihuette-2147000242/mountain-hiking/von-st-martin-oder-gigerwald-40815/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/schraeawislihuette-2147000242/berg-und-alpinwandern/von-st-martin-oder-gigerwald-40815/;Vom Parkplatz St. Martin dem Bergwanderweg südlich der Tamina (nicht dem Fahrsträsschen gegenüber!) entlang in Richtung Tüfwald. Eine kurze Waldpassage und ein letzter Aufstieg über Alpweiden führen zur Schräawislihütte.
